FECHA;PIGPA;PGASCO;PCAP;PBUPCL;REIGPA;RGASCO;RCAP;RBUPCL
19/07/2013 0:00;19115,33;5938,9;10577;365;0,010138732;0,016934932;0,053590995;0,057971014
26/07/2013 0:00;18923,47;5840;10039;345;0,007141838;-0,008488964;0,014973359;-5,79677E-05
02/08/2013 0:00;18789,28;5890;9890,9;345,02;0,00802697;0,026132404;0,002706758;0,026845238
09/08/2013 0:00;18639,66;5740;9864,2;336;0,011489625;0,01056338;-0,021893902;0,018181818
16/08/2013 0:00;18427,93;5680;10085;330;0,015507657;0,007127912;-0,078911316;0,205479452
23/08/2013 0:00;18146,52;5639,8;10949;273,75;0,008491291;-0,02762069;0,006064504;-0,21698464
30/08/2013 0:00;17993,73;5800;10883;349,61;-0,037334478;-0,008580903;-0,096696547;0,019598122
06/09/2013 0:00;18691,57;5850,2;12048;342,89;0,000794572;0,026350877;0,090612836;-0,117763598
13/09/2013 0:00;18676,73;5700;11047;388,66;-0,00706289;0,02610261;-0,010036742;0,022735645
17/09/2013 0:00;18809,58;5555;11159;380,02;-0,011494458;0,008185267;-0,040581205;0,002955925
27/09/2013 0:00;19028,3;5509,9;11631;378,9;0,008065242;0,003624772;0,0532464;0,020798534
04/10/2013 0:00;18876,06;5490;11043;371,18;-3,12555E-05;-0,019642857;0,029842395;0,017126572
11/10/2013 0:00;18876,65;5600;10723;364,93;-0,004483257;0,027522936;-0,033005681;0,019357542
18/10/2013 0:00;18961,66;5450;11089;358;-0,007376494;-0,009090909;0,051588431;-0,037634409
25/10/2013 0:00;19102,57;5500;10545;372;-0,007248192;0,057671968;-0,011344459;0,033333333
30/10/2013 0:00;19242,04;5200,1;10666;360;0,016577866;-0,103431034;-0,015143121;0,084337349
08/11/2013 0:00;18928,25;5800;10830;332;0,012041358;0,036287945;0,05607021;0,006060606
15/11/2013 0:00;18703,04;5596,9;10255;330;0,015065024;0,017618182;-0,005431093;-0,30412045
22/11/2013 0:00;18425,46;5500;10311;474,22;-0,009376415;-0,009365994;0,022916667;0,008978723
29/11/2013 0:00;18599,86;5552;10080;470;0,019966823;0,009454545;0,016877339;0,012931034
06/12/2013 0:00;18235,75;5500;9912,7;464;0,009079963;0;0,005293849;-0,010660981
13/12/2013 0:00;18071,66;5500;9860,5;469;-0,006989994;-0,008991153;-0,036119257;0,011778919
20/12/2013 0:00;18198,87;5549,9;10230;463,54;-0,00039108;0,018330275;-0,006024096;0,007695652
27/12/2013 0:00;18205,99;5450;10292;460;-0,001493428;0,048076923;0,036455186;0,011656037
03/01/2014 0:00;18233,22;5200;9930;454,7;0,017116674;0,019607843;0,003141763;-0,062474227
10/01/2014 0:00;17926,38;5100;9898,9;485;-0,018640293;0,049382716;0,032393646;0,012378149
17/01/2014 0:00;18266,88;4860;9588,3;479,07;0,025355357;0,004152978;0,133784247;0,012832981
24/01/2014 0:00;17815,17;4839,9;8456,9;473;0,040419761;-0,03202;0,042247446;-0,004776232
31/01/2014 0:00;17123,06;5000;8114,1;475,27;-0,013071014;0;-0,041453042;-0,009854167
07/02/2014 0:00;17349,84;5000;8465;480;-0,041572388;-0,00990099;-0,045917677;0,054945055
14/02/2014 0:00;18102,4;5050;8872,4;455;0,009184592;-0,009803922;0,027207261;-0,000219732
21/02/2014 0:00;17937,65;5100;8637,4;455,1;-0,022088219;-0,037735849;-0,012247699;-0,010867203
28/02/2014 0:00;18342,81;5300;8744,5;460,1;0,004618676;-0,027522936;0,050251618;0,011208791
07/03/2014 0:00;18258,48;5450;8326,1;455;0,020539366;-0,052173913;0,023415605;0,011111111
14/03/2014 0:00;17891,01;5750;8135,6;450;-0,008757238;0,00877193;-0,037719558;-0,01124978
21/03/2014 0:00;18049,07;5700;8454,5;455,12;-0,024202643;-0,008695652;-0,04249295;-0,021247312
28/03/2014 0:00;18496,74;5750;8829,7;465;-0,001639758;0,045454545;-0,018933123;-0,010638298
04/04/2014 0:00;18527,12;5500;9000,1;470;-0,021611334;0,0564733;-0,013828167;0,010752688
